"","estimate","p-value","var","quarter"
"1","-0.400558599579627","0.174992982869674","Linf","all"
"2","-0.0856366661170236","0.780884846014339","Linf","all"
"3","-0.110498924021966","0.719319107556723","Linf","all"
"4","0.05","0.871138802665975","Linf","all"
"5","-0.285714285714286","0.492726245016957","Linf","Q1"
"6","0.0952380952380952","0.822505430203611","Linf","Q1"
"7","-0.0238095238095238","0.955374011815881","Linf","Q1"
"8","0.166666666666667","0.693238811728395","Linf","Q1"
"9","-0.5","0.391002218955771","Linf","Q3"
"10","-0.9","0.0373860734684987","Linf","Q3"
"11","-0.1","0.872888571569538","Linf","Q3"
"12","-0.1","0.872888571569538","Linf","Q3"
"13","0.279009783155464","0.355933646634858","K","all"
"14","-0.00828741930164745","0.978563488543424","K","all"
"15","0","1","K","all"
"16","0.0833333333333333","0.786654316597192","K","all"
"17","0.0476190476190476","0.910849168519584","K","Q1"
"18","-0.285714285714286","0.492726245016957","K","Q1"
"19","-0.19047619047619","0.651401495702482","K","Q1"
"20","-0.0476190476190476","0.910849168519584","K","Q1"
"21","0.6","0.284756979865294","K","Q3"
"22","0.7","0.188120404374187","K","Q3"
"23","0.3","0.623837664781073","K","Q3"
"24","0.3","0.623837664781073","K","Q3"
"25","-0.527632362204888","0.0638596064882761","Lmtur","all"
"26","-0.334259245166447","0.264315597298957","Lmtur","all"
"27","-0.121548816424163","0.692426528534248","Lmtur","all"
"28","0.377777777777778","0.203139061532303","Lmtur","all"
"29","-0.380952380952381","0.351812553117565","Lmtur","Q1"
"30","-0.166666666666667","0.693238811728395","Lmtur","Q1"
"31","-0.0952380952380952","0.822505430203611","Lmtur","Q1"
"32","0.404761904761905","0.319888641228816","Lmtur","Q1"
"33","-0.7","0.188120404374188","Lmtur","Q3"
"34","-0.9","0.0373860734684987","Lmtur","Q3"
"35","0.1","0.872888571569538","Lmtur","Q3"
"36","0.4","0.504631575468691","Lmtur","Q3"
"37","7","0.281818181818182","lifestyle","all"
"38","13","1","lifestyle","all"
"39","6","0.209090909090909","lifestyle","all"
"40","7","0.263891390522455","lifestyle","all"
"41","3","0.571428571428571","lifestyle","Q1"
"42","7","0.571428571428571","lifestyle","Q1"
"43","4","0.857142857142857","lifestyle","Q1"
"44","4","0.857142857142857","lifestyle","Q1"
"45","1","0.8","lifestyle","Q3"
"46","0","0.4","lifestyle","Q3"
"47","0","0.4","lifestyle","Q3"
"48","0","0.4","lifestyle","Q3"
"49","-0.256909998351071","0.39681356898011","fish_M","all"
"50","-0.146411074329105","0.633157109235684","fish_M","all"
"51","-0.248622579049423","0.412741593980846","fish_M","all"
"52","-0.188888888888889","0.536555445041463","fish_M","all"
"53","0.166666666666667","0.693238811728395","fish_M","Q1"
"54","0.0714285714285714","0.866526270675909","fish_M","Q1"
"55","-0.119047619047619","0.77888572605238","fish_M","Q1"
"56","-0.285714285714286","0.492726245016957","fish_M","Q1"
"57","-0.8","0.104088038661828","fish_M","Q3"
"58","-0.9","0.0373860734684987","fish_M","Q3"
"59","-0.5","0.391002218955771","fish_M","Q3"
"60","-0.1","0.872888571569538","fish_M","Q3"
