"","V1"
"1",1.68854496611882
"2",1.69562528341449
"3",1.70791405230035
"4",1.64369062312167
"5",1.75839912436924
"6",1.72470973439509
"7",1.69941050004104
"8",1.70723000457737
"9",1.71325657278143
"10",1.68061129968579
"11",1.72650340042485
"12",1.66516168563231
"13",1.77890501614469
"14",1.63333622367614
"15",1.67229780494129
"16",1.72653033931626
"17",1.64191861059901
"18",1.68453153207843
"19",1.6580430620834
"20",1.7107291123411
"21",1.74443207575266
"22",1.73321935201586
"23",1.60325145830389
"24",1.68822410631885
"25",1.65246626202892
"26",1.76914773875337
"27",1.8179108196967
"28",1.67918184206688
"29",1.70374767065951
"30",1.78904904115802
"31",1.60598812385987
"32",1.68677133910089
"33",1.74728479771088
"34",1.65832256176386
"35",1.77693641076731
"36",1.70353563003513
"37",1.64126713186975
"38",1.69767517984581
"39",1.64928076459422
"40",1.66157565847967
"41",1.74439806442351
"42",1.68489179703338
"43",1.60667445587378
"44",1.64986163745007
"45",1.68679284486058
"46",1.63138122703723
"47",1.72544500329666
"48",1.66532536068047
"49",1.77538000451154
"50",1.73832926233448
"51",1.80799543179584
"52",1.77412625542002
"53",1.71325728132102
"54",1.64075315060357
"55",1.66339345555414
"56",1.69779269548235
"57",1.68928285981308
"58",1.71014417109732
"59",1.78154294749411
"60",1.72624118428232
"61",1.6947611819865
"62",1.6742886205602
"63",1.65334815828917
"64",1.77931282064133
"65",1.64340910312028
"66",1.61929802691612
"67",1.66918574196808
"68",1.74935478092257
"69",1.75987380020283
"70",1.71939000945667
"71",1.61064067175996
"72",1.65586038217026
"73",1.74350133172541
"74",1.68144302024811
"75",1.62616975740991
"76",1.61415576820904
"77",1.65554518577538
"78",1.63185717414468
"79",1.70807800953744
"80",1.78054732697618
"81",1.66849337640127
"82",1.7056023373406
"83",1.66801306464925
"84",1.58215785108024
"85",1.68623654018862
"86",1.79670397431794
"87",1.70115795185923
"88",1.784024260509
"89",1.62715234464059
"90",1.70718081420763
"91",1.65797358556066
"92",1.58883513243267
"93",1.68083328048966
"94",1.83097704762198
"95",1.73490096587806
"96",1.65122359406484
"97",1.66737465184485
"98",1.64677785334705
"99",1.65929975627773
"100",1.64852379115825
"101",1.64871123032144
"102",1.61936408557345
"103",1.70723699933729
"104",1.57792122251986
"105",1.71530898995661
"106",1.72718918268523
"107",1.65005461877547
"108",1.64024565877384
"109",1.74899594588367
"110",1.70921922185163
"111",1.68034215551031
"112",1.73263006510814
"113",1.68853900952148
"114",1.71926666576567
"115",1.64994574780872
