"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16"
"1" 78.6 95.8 113 130.2 147.4 164.6 181.8 199 216.2 233.4 250.6 267.8 285 302.2 319.4 336.6
"2" 119.4 178.2 237 295.8 354.6 413.4 472.2 531 589.8 648.6 707.4 766.2 825 883.8 942.6 1001.4
"3" 105.95 137.85 169.75 201.65 233.55 265.45 297.35 329.25 361.15 393.05 424.95 456.85 488.75 520.65 552.55 584.45
"4" 73.45 100.35 127.25 154.15 181.05 207.95 234.85 261.75 288.65 315.55 342.45 369.35 396.25 423.15 450.05 476.95
"5" 111.9 135.7 159.5 183.3 207.1 230.9 254.7 278.5 302.3 326.1 349.9 373.7 397.5 421.3 445.1 468.9
"6" 210.95 252.85 294.75 336.65 378.55 420.45 462.35 504.25 546.15 588.05 629.95 671.85 713.75 755.65 797.55 839.45
"7" 167.55 182.65 197.75 212.85 227.95 243.05 258.15 273.25 288.35 303.45 318.55 333.65 348.75 363.85 378.95 394.05
"8" 43.8 51.4 59 66.6 74.2 81.8 89.4 97 104.6 112.2 119.8 127.4 135 142.6 150.2 157.8
"9" 74.7 84.1 93.5 102.9 112.3 121.7 131.1 140.5 149.9 159.3 168.7 178.1 187.5 196.9 206.3 215.7
"10" 74.1 92.3 110.5 128.7 146.9 165.1 183.3 201.5 219.7 237.9 256.1 274.3 292.5 310.7 328.9 347.1
"11" 78.15 134.45 190.75 247.05 303.35 359.65 415.95 472.25 528.55 584.85 641.15 697.45 753.75 810.05 866.35 922.65
"12" 76.55 109.65 142.75 175.85 208.95 242.05 275.15 308.25 341.35 374.45 407.55 440.65 473.75 506.85 539.95 573.05
"13" 54.4 83.2 112 140.8 169.6 198.4 227.2 256 284.8 313.6 342.4 371.2 400 428.8 457.6 486.4
"14" 170.35 191.05 211.75 232.45 253.15 273.85 294.55 315.25 335.95 356.65 377.35 398.05 418.75 439.45 460.15 480.85
"15" 268.8 306.4 344 381.6 419.2 456.8 494.4 532 569.6 607.2 644.8 682.4 720 757.6 795.2 832.8
"16" 198.15 214.45 230.75 247.05 263.35 279.65 295.95 312.25 328.55 344.85 361.15 377.45 393.75 410.05 426.35 442.65
"17" 53.6 60.8 68 75.2 82.4 89.6 96.8 104 111.2 118.4 125.6 132.8 140 147.2 154.4 161.6
"18" 45.65 56.95 68.25 79.55 90.85 102.15 113.45 124.75 136.05 147.35 158.65 169.95 181.25 192.55 203.85 215.15
