"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"1" 70 87.2 104.4 121.6 138.8 156 173.2 190.4 207.6 224.8 242 259.2 276.4 293.6 310.8 328 345.2
"2" 90 148.8 207.6 266.4 325.2 384 442.8 501.6 560.4 619.2 678 736.8 795.6 854.4 913.2 972 1030.8
"3" 90 121.9 153.8 185.7 217.6 249.5 281.4 313.3 345.2 377.1 409 440.9 472.8 504.7 536.6 568.5 600.4
"4" 60 86.9 113.8 140.7 167.6 194.5 221.4 248.3 275.2 302.1 329 355.9 382.8 409.7 436.6 463.5 490.4
"5" 100 123.8 147.6 171.4 195.2 219 242.8 266.6 290.4 314.2 338 361.8 385.6 409.4 433.2 457 480.8
"6" 190 231.9 273.8 315.7 357.6 399.5 441.4 483.3 525.2 567.1 609 650.9 692.8 734.7 776.6 818.5 860.4
"7" 160 175.1 190.2 205.3 220.4 235.5 250.6 265.7 280.8 295.9 311 326.1 341.2 356.3 371.4 386.5 401.6
"8" 40 47.6 55.2 62.8 70.4 78 85.6 93.2 100.8 108.4 116 123.6 131.2 138.8 146.4 154 161.6
"9" 70 79.4 88.8 98.2 107.6 117 126.4 135.8 145.2 154.6 164 173.4 182.8 192.2 201.6 211 220.4
"10" 65 83.2 101.4 119.6 137.8 156 174.2 192.4 210.6 228.8 247 265.2 283.4 301.6 319.8 338 356.2
"11" 50 106.3 162.6 218.9 275.2 331.5 387.8 444.1 500.4 556.7 613 669.3 725.6 781.9 838.2 894.5 950.8
"12" 60 93.1 126.2 159.3 192.4 225.5 258.6 291.7 324.8 357.9 391 424.1 457.2 490.3 523.4 556.5 589.6
"13" 40 68.8 97.6 126.4 155.2 184 212.8 241.6 270.4 299.2 328 356.8 385.6 414.4 443.2 472 500.8
"14" 160 180.7 201.4 222.1 242.8 263.5 284.2 304.9 325.6 346.3 367 387.7 408.4 429.1 449.8 470.5 491.2
"15" 250 287.6 325.2 362.8 400.4 438 475.6 513.2 550.8 588.4 626 663.6 701.2 738.8 776.4 814 851.6
"16" 190 206.3 222.6 238.9 255.2 271.5 287.8 304.1 320.4 336.7 353 369.3 385.6 401.9 418.2 434.5 450.8
"17" 50 57.2 64.4 71.6 78.8 86 93.2 100.4 107.6 114.8 122 129.2 136.4 143.6 150.8 158 165.2
"18" 40 51.3 62.6 73.9 85.2 96.5 107.8 119.1 130.4 141.7 153 164.3 175.6 186.9 198.2 209.5 220.8
