"","x"
"1",-0.131859296482412
"2",-0.0576884422110553
"3",-0.148341708542714
"4",-0.197788944723618
"5",-0.0494472361809045
"6",-0.098894472361809
"7",-0.189547738693467
"8",-0.098894472361809
"9",-0.131859296482412
"10",-0.0576884422110553
"11",-0.173065326633166
"12",-0.131859296482412
"13",-0.21427135678392
"14",-0.0824120603015075
"15",-0.115376884422111
"16",-0.131859296482412
"17",-0.098894472361809
"18",-0.0741708542713568
"19",-0.0412060301507537
"20",-0.0659296482412061
"21",-0.0412060301507537
"22",-0.0906532663316583
"23",-0.098894472361809
"24",-0.156582914572864
"25",-0.0659296482412061
"26",-0.140100502512563
"27",-0.164824120603015
"28",-0.131859296482412
"29",-0.115376884422111
"30",-0.10713567839196
"31",-0.197788944723618
"32",-0.21427135678392
"33",-0.0824120603015076
"34",-0.156582914572864
"35",-0.098894472361809
"36",-0.115376884422111
"37",-0.123618090452261
"38",-0.0494472361809045
"39",-0.0576884422110553
"40",-0.123618090452261
"41",-0.271959798994975
"42",-0.131859296482412
"43",-0.0247236180904523
"44",-0.0824120603015076
"45",-0.0576884422110553
"46",-0.206030150753769
"47",-0.140100502512563
"48",-0.189547738693467
"49",-0.0824120603015075
"50",-0.0659296482412061
"51",-0.123618090452261
"52",-0.131859296482412
"53",-0.0247236180904523
"54",-0.148341708542713
"55",-0.189547738693467
"56",-0.098894472361809
"57",-0.10713567839196
"58",-0.0988944723618091
"59",-0.140100502512563
"60",-0.164824120603015
"61",-0.0824120603015075
"62",-0.131859296482412
"63",-0.065929648241206
"64",-0.11537688442211
"65",-0.173065326633166
"66",-0.115376884422111
"67",-0.140100502512563
"68",-0.0741708542713567
"69",-0.0247236180904523
"70",-0.0576884422110553
"71",-0.0824120603015075
"72",-0.0494472361809045
"73",-0.098894472361809
"74",-0.148341708542714
"75",-0.206030150753769
"76",-0.148341708542714
"77",-0.247236180904523
"78",-0.156582914572864
"79",-0.123618090452261
"80",-0.123618090452261
"81",-0.115376884422111
"82",-0.173065326633166
"83",-0.140100502512563
"84",-0.0824120603015076
"85",-0.173065326633166
"86",-0.0824120603015076
"87",-0.156582914572864
"88",-0.131859296482412
"89",-0.173065326633166
"90",-0.0576884422110553
"91",-0.148341708542714
"92",-0.131859296482412
"93",-0.156582914572864
"94",-0.0494472361809045
"95",-0.0741708542713567
"96",-0.131859296482412
"97",-0.206030150753769
"98",-0.148341708542714
"99",-0.247236180904523
"100",-0.164824120603015
"101",-0.131859296482412
"102",-0.10713567839196
"103",-0.148341708542714
"104",-0.131859296482412
"105",-0.0906532663316583
"106",-0.164824120603015
"107",-0.189547738693467
"108",-0.140100502512563
"109",-0.156582914572864
"110",-0.0741708542713568
"111",-0.11537688442211
"112",-0.0824120603015075
"113",-0.131859296482412
"114",-0.0906532663316583
"115",-0.0906532663316583
"116",-0.098894472361809
"117",-0.131859296482412
"118",-0.156582914572864
"119",-0.173065326633166
"120",-0.206030150753769
"121",-0.0906532663316584
"122",-0.156582914572864
"123",-0.0741708542713568
"124",-0.0576884422110553
"125",-0.206030150753769
"126",-0.065929648241206
"127",-0.0412060301507537
"128",-0.115376884422111
"129",-0.10713567839196
"130",-0.115376884422111
"131",-0.238994974874372
"132",-0.123618090452261
"133",-0.131859296482412
"134",-0.10713567839196
"135",-0.21427135678392
"136",-0.238994974874372
"137",-0.0659296482412061
"138",-0.131859296482412
"139",-0.140100502512563
"140",-0.131859296482412
"141",-0.0906532663316583
"142",-0.10713567839196
"143",-0.164824120603015
"144",-0.0412060301507537
"145",-0.0659296482412061
"146",-0.115376884422111
"147",-0.164824120603015
"148",-0.173065326633166
"149",-0.123618090452261
"150",-0.0741708542713568
"151",-0.123618090452261
"152",-0.189547738693467
"153",-0.0576884422110553
"154",-0.131859296482412
"155",-0.123618090452261
"156",-0.148341708542714
"157",-0.206030150753769
"158",-0.148341708542714
"159",-0.0494472361809045
"160",-0.0906532663316583
"161",-0.115376884422111
"162",-0.115376884422111
"163",-0.148341708542714
"164",-0.156582914572864
"165",-0.148341708542714
"166",-0.0741708542713568
"167",-0.156582914572864
"168",-0.115376884422111
"169",-0.148341708542714
"170",-0.00824120603015077
"171",-0.0412060301507537
"172",-0.0164824120603014
"173",-0.098894472361809
"174",-0.0494472361809045
"175",-0.164824120603015
"176",-0.0824120603015076
"177",-0.00824120603015077
"178",-0.098894472361809
"179",-0.164824120603015
"180",-0.0659296482412061
"181",-0.0824120603015075
"182",-0.098894472361809
"183",-0.115376884422111
"184",-0.230753768844221
"185",-0.0824120603015075
"186",-0.148341708542714
"187",-0.0576884422110553
"188",-0.0741708542713568
"189",-0.164824120603015
"190",-0.181306532663317
"191",-0.148341708542714
"192",-0.098894472361809
"193",-0.123618090452261
"194",-0.123618090452261
"195",-0.164824120603015
"196",-0.131859296482412
"197",-0.0906532663316583
"198",-0.0906532663316582
"199",-0.11537688442211
"200",-0.0824120603015076
"201",-0.206030150753769
"202",-0.0824120603015076
"203",-0.197788944723618
"204",-0.0494472361809045
"205",-0.10713567839196
"206",-0.0906532663316583
"207",-0.0824120603015075
"208",-0.0659296482412061
"209",-0.115376884422111
"210",-0.0659296482412061
"211",-0.0824120603015075
"212",-0.098894472361809
"213",-0.156582914572864
"214",-0.156582914572864
"215",-0.181306532663317
"216",-0.0412060301507537
"217",-0.0824120603015075
"218",-0.0412060301507537
"219",-0.10713567839196
"220",-0.21427135678392
"221",-0.115376884422111
"222",-0.197788944723618
"223",-0.0329648241206031
"224",-0.164824120603015
"225",-0.140100502512563
"226",-0.156582914572864
"227",-0.123618090452261
"228",-0.123618090452261
"229",-0.10713567839196
"230",-0.10713567839196
"231",-0.173065326633166
"232",-0.0906532663316584
