"","Estimate","Std. Error","t value","Pr(>|t|)",""
"sm_line_Rst_1",1.2941413114698,0.0931742658165563,13.8894715201484,0.000807919527138385,5
"lar_line_Rst_1",-0.519847981842078,0.25512892330376,-2.03758936897617,0.072045330146819,11
"sm_line_Rst_3",1.2941413114698,0.0931742658165563,13.8894715201484,0.000807919527138385,15
"",0,0,0,0,1
"sm_line_Rst_1",0.69091944621675,0.513999118957565,1.34420356131737,0.31106180208558,4
"lar_line_Rst_1",-1.20757878550104,0.15922974728575,-7.5838767949179,1.87408762620255e-05,12
"sm_line_Rst_3",0.69091944621675,0.513999118957565,1.34420356131737,0.31106180208558,10
"lar_line_Rst_3",-1.20757878550104,0.15922974728575,-7.5838767949179,1.87408762620255e-05,6
"sm_line_Rst_1",1.30574419807571,0.276127847414479,4.72876680241432,0.00213561699829796,9
"lar_line_Rst_1",-1.64276643100242,0.560406851592179,-2.93138177439327,0.0325804933282401,7
"sm_line_Rst_3",1.30574419807571,0.276127847414479,4.72876680241432,0.00213561699829796,11
"lar_line_Rst_3",-1.64276643100242,0.560406851592179,-2.93138177439327,0.0325804933282401,5
"sm_line_Rst_1",1.81134730770123,0.476666808654682,3.80002818491489,0.00523645223303853,10
"lar_line_Rst_1",-3.282759419383,0.760887373042632,-4.31438283205557,0.0125026960222251,6
"sm_line_Rst_3",1.81134730770123,0.476666808654682,3.80002818491489,0.00523645223303853,10
"lar_line_Rst_3",-3.282759419383,0.760887373042632,-4.31438283205557,0.0125026960222251,6
"sm_line_Rst_1",1.00796305680311,0.846861889204895,1.1902331060729,0.319557264468707,5
"lar_line_Rst_1",-1.28309195183386,0.134462900169239,-9.54234922955636,5.27718757970214e-06,11
"",0,0,0,0,0
"lar_line_Rst_3",-1.28309195183386,0.134462900169239,-9.54234922955636,5.27718757970214e-06,16
"sm_line_Rst_1",0.833081957907489,0.0799445365484781,10.4207491077556,6.23483319588926e-06,10
"lar_line_Rst_1",-1.52006555934319,0.381739973432749,-3.98193971062079,0.0163745973865466,6
"sm_line_Rst_3",0.833081957907489,0.0799445365484781,10.4207491077556,6.23483319588926e-06,7
"lar_line_Rst_3",-1.52006555934319,0.381739973432749,-3.98193971062079,0.0163745973865466,9
"",0,0,0,0,1
"lar_line_Rst_1",-0.143694349201603,0.0599351739792889,-2.39749615561737,0.0322357262681631,15
"sm_line_Rst_3",0.833081957907489,0.0799445365484781,10.4207491077556,6.23483319588926e-06,9
"lar_line_Rst_3",-0.143694349201603,0.0599351739792889,-2.39749615561737,0.0322357262681631,7
"sm_line_Rst_1",0.883778298603802,0.182744245932651,4.83614843298273,0.00129445840169593,10
"lar_line_Rst_1",-1.8447451234869,0.257329296137753,-7.16881113489455,0.00200458745472361,6
"sm_line_Rst_3",0.883778298603802,0.182744245932651,4.83614843298273,0.00129445840169593,15
"",0,0,0,0,1
"sm_line_Rst_1",0.468230033539768,0.188839042688713,2.47951920785582,0.0350190540976531,11
"lar_line_Rst_1",-1.43074458283566,0.36926761356126,-3.87454661684893,0.0304343917813348,5
"sm_line_Rst_3",0.468230033539768,0.188839042688713,2.47951920785582,0.0350190540976531,16
"",0,0,0,0,0
